"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapCopy","avgt",1,100,"0.048360","0.000087","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapGet","avgt",1,100,"0.063900","0.000154","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutRemove","avgt",1,100,"0.092016","0.001564","ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutUpdate","avgt",1,100,"0.052711","0.000124","ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapCopy","avgt",1,100,"0.051324","0.000266","ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapGet","avgt",1,100,"0.084699","0.000644","ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutRemove","avgt",1,100,"0.054135","0.000821","ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutUpdate","avgt",1,100,"0.048890","0.000216","ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapGet","avgt",1,100,"0.072697","0.000473","ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapMapCopy","avgt",1,100,"0.070655","0.000094","ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapPutRemove","avgt",1,100,"0.093657","0.000921","ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapUpdate","avgt",1,100,"0.062214","0.000315","ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapCopy","sample",1,435416,"0.229471","0.000267","ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapGet","sample",1,661279,"0.151056","0.000164","ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapPutRemove","sample",1,614750,"0.162494","0.000194","ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapPutUpdate","sample",1,604999,"0.165112","0.000178","ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapGet","sample",1,1531150,"0.065216","0.000066","ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapMapCopy","sample",1,1436379,"0.069508","0.000072","ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapPutRemove","sample",1,1113781,"0.089659","0.000095","ms/op"
