"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.austinv11.bench.MapTests.concurrentHashMapPutRemove","sample",1,1234139,0.080941,0.000076,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapPutUpdate","sample",1,1238667,0.080641,0.000077,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapGet","sample",1,1223132,0.040818,0.000052,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapMapCopy","sample",1,1258818,0.039658,0.000054,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapPutRemove","sample",1,1380350,0.050659,0.000059,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapUpdate","sample",1,1544672,0.032314,0.000042,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapCopy","sample",1,1873319,0.026648,0.000035,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapGet","sample",1,1103284,0.045269,0.000058,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutRemove","sample",1,1734769,0.025914,0.000037,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutUpdate","sample",1,1039414,0.024027,0.000042,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapGet","sample",1,1527192,0.032699,0.000044,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapMapCopy","sample",1,1218244,0.020495,0.000041,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapPutRemove","sample",1,1360318,0.023864,0.000042,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapUpdate","sample",1,1252897,0.019940,0.000040,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapGet","sample",1,1705316,0.050954,0.000052,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapMapCopy","sample",1,1751748,0.057020,0.000053,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapPutRemove","sample",1,1066046,0.046830,0.000058,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapUpdate","sample",1,1283415,0.042800,0.000051,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapCopy","sample",1,1607382,0.031053,0.000047,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapGet","sample",1,1553612,0.032133,0.000051,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapPutRemove","sample",1,1044900,0.023824,0.000050,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapPutUpdate","sample",1,1717186,0.029084,0.000042,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapCopy","sample",1,394805,0.253052,0.000155,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapGet","sample",1,169103,0.590636,0.000477,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutRemove","sample",1,178289,0.560184,0.000428,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutUpdate","sample",1,208012,0.480430,0.000387,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapCopy","sample",1,1540536,0.032397,0.000045,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutRemove","sample",1,164015,0.608967,0.000508,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutUpdate","sample",1,1186264,0.021038,0.000044,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapCopy","sample",1,1200723,0.020792,0.000044,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapGet","sample",1,1565387,0.031904,0.000041,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutRemove","sample",1,1118770,0.044629,0.000062,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutUpdate","sample",1,1158908,0.021553,0.000042,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapCopy","sample",1,1814653,0.026143,0.000036,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapGet","sample",1,1038194,0.048106,0.000061,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutRemove","sample",1,1688196,0.029571,0.000041,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutUpdate","sample",1,1665757,0.029950,0.000046,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapGet","sample",1,1073491,0.046506,0.000080,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapMapCopy","sample",1,1157825,0.043112,0.000074,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapPutRemove","sample",1,1649524,0.060525,0.000085,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapUpdate","sample",1,1274937,0.039168,0.000065,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapCopy","ss",1,100,0.586967,0.052622,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapGet","ss",1,100,0.641649,0.072705,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapPutRemove","ss",1,100,0.565294,0.076480,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapPutUpdate","ss",1,100,0.572100,0.070360,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapGet","ss",1,100,0.226220,0.026062,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapMapCopy","ss",1,100,0.213467,0.019200,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapPutRemove","ss",1,100,0.227188,0.021923,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapUpdate","ss",1,100,0.197831,0.022304,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapCopy","ss",1,100,0.215457,0.016674,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapGet","ss",1,100,0.332970,0.038382,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutRemove","ss",1,100,0.245593,0.016426,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutUpdate","ss",1,100,0.160426,0.012877,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapGet","ss",1,100,0.250257,0.026674,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapMapCopy","ss",1,100,0.201007,0.024944,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapPutRemove","ss",1,100,0.245114,0.030324,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapUpdate","ss",1,100,0.214061,0.021095,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapGet","ss",1,100,0.289407,0.062170,"ms/op"
