"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutUpdate","avgt",1,100,0.051820,0.000109,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapCopy","avgt",1,100,0.049565,0.000058,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapGet","avgt",1,100,0.080606,0.000561,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutRemove","avgt",1,100,0.053733,0.000916,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutUpdate","avgt",1,100,0.046207,0.000100,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapGet","avgt",1,100,0.069950,0.000422,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapMapCopy","avgt",1,100,0.068544,0.000117,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapPutRemove","avgt",1,100,0.092552,0.001059,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapUpdate","avgt",1,100,0.061840,0.000892,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapCopy","sample",1,453709,0.219510,0.000239,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapGet","sample",1,688519,0.144371,0.000160,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapPutRemove","sample",1,643619,0.154538,0.000167,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapPutUpdate","sample",1,629769,0.157955,0.000204,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapGet","sample",1,1552099,0.063524,0.000064,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapMapCopy","sample",1,1453272,0.067883,0.000070,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapPutRemove","sample",1,1129178,0.087629,0.000089,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapUpdate","sample",1,1830964,0.053703,0.000055,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapCopy","sample",1,1156057,0.043208,0.000063,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapGet","sample",1,1317111,0.075043,0.000067,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutRemove","sample",1,1104596,0.045225,0.000066,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutUpdate","sample",1,1474449,0.033871,0.000066,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapGet","sample",1,1535984,0.064212,0.000063,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapMapCopy","sample",1,997084,0.050109,0.000071,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapPutRemove","sample",1,1672743,0.058916,0.000058,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapUpdate","sample",1,1863067,0.052775,0.000052,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapGet","sample",1,1343536,0.073585,0.000066,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapMapCopy","sample",1,1142329,0.086610,0.000085,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapPutRemove","sample",1,1366839,0.072276,0.000063,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapUpdate","sample",1,1535395,0.064264,0.000061,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapCopy","sample",1,1853053,0.053041,0.000057,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapGet","sample",1,1729081,0.056929,0.000061,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapPutRemove","sample",1,1091523,0.045752,0.000068,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapPutUpdate","sample",1,1065524,0.046911,0.000072,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapCopy","sample",1,202237,0.493558,0.000508,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapGet","sample",1,74600,1.341039,0.001478,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutRemove","sample",1,68692,1.455050,0.001988,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutUpdate","sample",1,92764,1.077068,0.001071,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapCopy","sample",1,1674104,0.058811,0.000061,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutRemove","sample",1,79064,1.263761,0.001020,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutUpdate","sample",1,1325349,0.037701,0.000055,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapCopy","sample",1,1011716,0.049366,0.000069,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapGet","sample",1,1554458,0.063464,0.000063,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutRemove","sample",1,1084586,0.091276,0.000088,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutUpdate","sample",1,1856409,0.052986,0.000052,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapCopy","sample",1,1913449,0.051353,0.000053,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapGet","sample",1,1219225,0.081127,0.000080,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutRemove","sample",1,1783194,0.055166,0.000057,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutUpdate","sample",1,1111694,0.044922,0.000063,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapGet","sample",1,1389366,0.071065,0.000074,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapMapCopy","sample",1,1422376,0.069378,0.000071,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapPutRemove","sample",1,1081953,0.091493,0.000092,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapUpdate","sample",1,1583391,0.062263,0.000063,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapCopy","ss",1,100,0.821852,0.067174,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapGet","ss",1,100,0.891601,0.080880,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapPutRemove","ss",1,100,0.792108,0.058192,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapPutUpdate","ss",1,100,0.841109,0.063354,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapGet","ss",1,100,0.309481,0.026431,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapMapCopy","ss",1,100,0.327898,0.025710,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapPutRemove","ss",1,100,0.347996,0.019124,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapUpdate","ss",1,100,0.282240,0.025541,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapCopy","ss",1,100,0.320418,0.018198,"ms/op"
