"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapCopy","avgt",1,100,0.022329,0.000294,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapGet","avgt",1,100,0.043512,0.000329,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutRemove","avgt",1,100,0.065212,0.001612,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutUpdate","avgt",1,100,0.026694,0.001902,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapCopy","avgt",1,100,0.035928,0.000563,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapGet","avgt",1,100,0.065332,0.000595,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutRemove","avgt",1,100,0.034943,0.000243,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutUpdate","avgt",1,100,0.035195,0.000221,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapGet","avgt",1,100,0.060494,0.000571,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapMapCopy","avgt",1,100,0.055902,0.000680,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapPutRemove","avgt",1,100,0.076289,0.001708,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapUpdate","avgt",1,100,0.049466,0.000857,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapCopy","sample",1,604822,0.165780,0.000185,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapGet","sample",1,903006,0.110920,0.000120,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapPutRemove","sample",1,850073,0.117871,0.000126,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapPutUpdate","sample",1,889448,0.112682,0.000121,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapGet","sample",1,1772933,0.056504,0.000061,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapMapCopy","sample",1,1431651,0.052537,0.000090,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapPutRemove","sample",1,1499172,0.066925,0.000076,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapUpdate","sample",1,1159507,0.043213,0.000067,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapCopy","sample",1,1683317,0.029756,0.000045,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapGet","sample",1,1677957,0.059755,0.000063,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutRemove","sample",1,1562389,0.027264,0.000045,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutUpdate","sample",1,1567113,0.025571,0.000044,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapGet","sample",1,1340020,0.048654,0.000066,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapMapCopy","sample",1,1295446,0.025137,0.000049,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapPutRemove","sample",1,1415069,0.029926,0.000053,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapUpdate","sample",1,1242358,0.028241,0.000054,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapGet","sample",1,1297941,0.077239,0.000081,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapMapCopy","sample",1,1225650,0.081809,0.000084,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapPutRemove","sample",1,1332545,0.075258,0.000082,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapUpdate","sample",1,1586597,0.063163,0.000066,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapCopy","sample",1,1372831,0.036483,0.000057,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapGet","sample",1,1205569,0.041528,0.000062,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapPutRemove","sample",1,1391965,0.026999,0.000048,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapPutUpdate","sample",1,1597478,0.031319,0.000047,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapCopy","sample",1,250745,0.399264,0.000488,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapGet","sample",1,102223,0.980483,0.001675,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutRemove","sample",1,124661,0.803861,0.001159,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutUpdate","sample",1,117520,0.852097,0.001393,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapCopy","sample",1,1238178,0.040467,0.000062,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutRemove","sample",1,87345,1.147574,0.001836,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutUpdate","sample",1,1611427,0.026432,0.000047,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapCopy","sample",1,1085806,0.023081,0.000050,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapGet","sample",1,1208739,0.045561,0.000067,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutRemove","sample",1,1584233,0.063252,0.000075,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutUpdate","sample",1,1287437,0.027225,0.000051,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapCopy","sample",1,1397027,0.035864,0.000054,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapGet","sample",1,1574890,0.063675,0.000070,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutRemove","sample",1,1451200,0.034529,0.000053,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutUpdate","sample",1,1587958,0.031588,0.000050,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapGet","sample",1,1658416,0.060466,0.000066,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapMapCopy","sample",1,1841671,0.054444,0.000063,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapPutRemove","sample",1,1326319,0.075616,0.000088,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapUpdate","sample",1,1077312,0.051128,0.000077,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapCopy","ss",1,100,1.070383,0.153477,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapGet","ss",1,100,0.920644,0.094366,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapPutRemove","ss",1,100,0.854972,0.097801,"ms/op"
"com.austinv11.bench.MapTests.concurrentHashMapPutUpdate","ss",1,100,0.634581,0.096368,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapGet","ss",1,100,0.320559,0.042885,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapMapCopy","ss",1,100,0.326835,0.028350,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapPutRemove","ss",1,100,0.381239,0.030874,"ms/op"
"com.austinv11.bench.MapTests.manualSnchronizedTLongObjectHashMapUpdate","ss",1,100,0.288823,0.024718,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapCopy","ss",1,100,0.276002,0.023149,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapGet","ss",1,100,0.468122,0.076212,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutRemove","ss",1,100,0.367949,0.094741,"ms/op"
"com.austinv11.bench.MapTests.manualSynchronizedLongObjectHashMapPutUpdate","ss",1,100,0.221986,0.019439,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapGet","ss",1,100,0.378650,0.039762,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapMapCopy","ss",1,100,0.319424,0.035252,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapPutRemove","ss",1,100,0.359253,0.039731,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjMapUpdate","ss",1,100,0.368555,0.036012,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapGet","ss",1,100,0.469611,0.109669,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapMapCopy","ss",1,100,0.472704,0.109803,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapPutRemove","ss",1,100,0.606225,0.434258,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashLongObjectMapUpdate","ss",1,100,0.436868,0.105777,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapCopy","ss",1,100,0.351718,0.029882,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapGet","ss",1,100,0.320055,0.027983,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapPutRemove","ss",1,100,0.331947,0.021132,"ms/op"
"com.austinv11.bench.MapTests.synchronizedHashMapPutUpdate","ss",1,100,0.281331,0.024723,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapCopy","ss",1,100,0.441950,0.034969,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapGet","ss",1,100,0.977673,0.061089,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutRemove","ss",1,100,0.925879,0.046664,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectArrayMapPutUpdate","ss",1,100,0.925240,0.047478,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapCopy","ss",1,100,0.330214,0.034708,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutRemove","ss",1,100,1.125440,0.066619,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectHashMapPutUpdate","ss",1,100,0.282581,0.027691,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapCopy","ss",1,100,0.342332,0.050030,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapGet","ss",1,100,0.395294,0.035193,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutRemove","ss",1,100,0.459042,0.061832,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLong2ObjectOpenHashMapPutUpdate","ss",1,100,0.363473,0.034613,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapCopy","ss",1,100,0.345613,0.044328,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapGet","ss",1,100,0.550225,0.111944,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutRemove","ss",1,100,0.456777,0.046802,"ms/op"
"com.austinv11.bench.MapTests.synchronizedLongObjectHashMapPutUpdate","ss",1,100,0.297553,0.021625,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapGet","ss",1,100,0.381261,0.054520,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapMapCopy","ss",1,100,0.342869,0.033190,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapPutRemove","ss",1,100,0.416047,0.040012,"ms/op"
"com.austinv11.bench.MapTests.synchronizedTLongObjectHashMapUpdate","ss",1,100,0.302161,0.033181,"ms/op"
